Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
1,"Total, all countries or areas",2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
1,"Total, all countries or areas",2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
15,Northern Africa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
15,Northern Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
15,Northern Africa,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
202,Sub-Saharan Africa,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
202,Sub-Saharan Africa,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
202,Sub-Saharan Africa,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
21,Northern America,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
21,Northern America,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
21,Northern America,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
419,Latin America & the Caribbean,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
419,Latin America & the Caribbean,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
419,Latin America & the Caribbean,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
143,Central Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
143,Central Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
143,Central Asia,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
30,Eastern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
30,Eastern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
30,Eastern Asia,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
35,South-eastern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
35,South-eastern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
35,South-eastern Asia,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
34,Southern Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
34,Southern Asia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
34,Southern Asia,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
145,Western Asia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
